D,tc,A,I,Q,Qrat,C,Creal 
1.0, 71.9640138841, 3.0303030303030596, 6.0, 4.364397543313858e-05, 17.61836233563099, 0.9690099284596951 , 0.0
3.01010101010101, 91.7081531369, 3.0303030303030596, 3.756248326474848, 3.560405843217943e-05, 10.852666997334142, 0.9534460445221082 , 0.0
5.02020202020202, 102.763422495, 3.0303030303030596, 3.0223499092099395, 6.453481065898193e-05, 8.635718194992853, 0.9429043922622994 , 0.0018533795881097966
7.030303030303029, 110.822836375, 3.0303030303030596, 2.619312293426305, 9.537807877050412e-05, 7.435388782420529, 0.936764319534083 , -0.00020151689345141745
9.04040404040404, 117.290504683, 3.0303030303030596, 2.3538100785389346, 0.0001276115655405944, 6.6509587820588765, 0.9324526299257679 , -0.002433389263124228
11.05050505050505, 122.752450648, 3.0303030303030596, 2.161293992156723, 0.0001609408565617532, 6.086822609072695, 0.9293744711655663 , -0.004349994673451722
13.060606060606059, 127.514161774, 3.0303030303030596, 2.013106888909581, 0.00019517510447887492, 5.627365107755417, 0.9224698876099661 , -0.006588760993213167
15.07070707070707, 131.756785917, 6.060606060606062, 1.8942812400038214, 5.007736069921667, 10.5553179760918, 0.9194133528195809 , 0.007162905913428665
17.08080808080808, 135.597296635, 6.060606060606062, 1.7961192805833481, 4.775463905700126, 9.979810321438942, 0.9167925097394509 , 0.0039403814693181275
19.09090909090909, 139.115970226, 6.060606060606062, 1.713167951216147, 4.518004237443141, 9.49056750724548, 0.914063117736862 , -0.00029619745684718925
21.1010101010101, 142.370480639, 6.060606060606062, 1.641808013549618, 4.271820816786422, 9.069210281201988, 0.9114462129850626 , -0.004952098455113871
23.11111111111111, 145.403771979, 9.090909090909122, 1.579528256659375, 8.35792492698774, 13.048902791868393, 0.9087392397406523 , 0.009049787277709045
25.121212121212118, 148.248752278, 9.090909090909122, 1.5245230650555148, 7.992234738473716, 12.564044440310198, 0.9065424591551132 , 0.0045902738504057196
27.131313131313128, 150.931240916, 9.090909090909122, 1.4754556321962309, 7.706056414192958, 12.13613155205125, 0.9047879459028596 , -0.0009802889498717327
29.14141414141414, 153.471899209, 12.121212121212125, 1.4313117471234709, 11.382637847358627, 15.604592278990586, 0.8994398778630777 , 0.013420361275018628
31.15151515151515, 155.887540113, 12.121212121212125, 1.3913058176345996, 10.964179539781739, 15.133682309121358, 0.8973791201600613 , 0.007921596343434204
33.16161616161616, 158.19204344, 12.121212121212125, 1.354818389686317, 10.701418109798128, 14.704981315878692, 0.8954417564710475 , 0.0024821664860459336
35.17171717171717, 160.397011852, 15.151515151515127, 1.3213533868279066, 13.785690990789856, 17.888929890593943, 0.8935303640561773 , 0.014234136097417707
37.18181818181818, 162.512251496, 15.151515151515127, 1.2905081026524792, 13.404128618875129, 17.440236203687657, 0.891939839104873 , 0.008893386394422302
39.19191919191919, 164.546131019, 18.181818181818187, 1.2619516758582194, 16.64481931187243, 20.432324761337206, 0.8905078406503124 , 0.02122392183121124
